Altium Designer Pick and Place Locations
C:\Users\jordo\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for TelemetrySystem.txt

========================================================================================================================
File Design Information:

Date:       15/05/24
Time:       21:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator          Comment                                   Layer    Footprint                                           Center-X(mm) Center-Y(mm) Rotation Description                                                                                                   Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
RS232_L1            "TDK MLZ2012N100LT000"                    TopLayer PCB-i95ijw2nk4k62863s7w3-1                          39.3620      35.8100      180      "Inductor Power Shielded Multi-Layer 10uH 20% 2MHz Ferrite 500mA 390mOhm DCR 0805 T/R"                        39.3620   35.8100   40.2620   35.8100   
232_C4              "Kemet C0805C224K5RAC7800"                TopLayer CAPC2013X145X50ML20T25                              33.8980      31.2420      180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.22uF X7R 10%"                                         33.8980   31.2420   34.7980   31.2420   
232_C3              1uF                                       TopLayer CAPC3216X110X50ML20T25                              39.2430      27.9400      0        "Capacitor 1206 1uF 50V"                                                                                      39.2430   27.9400   37.7430   27.9400   
232_C2              1uF                                       TopLayer CAPC3216X110X50ML20T25                              33.2980      34.5440      0        "Capacitor 1206 1uF 50V"                                                                                      33.2980   34.5440   31.7980   34.5440   
232_C1              1uF                                       TopLayer CAPC3216X110X50ML20T25                              44.6010      34.9250      180      "Capacitor 1206 1uF 50V"                                                                                      44.6010   34.9250   46.1010   34.9250   
"RS232 Transceiver" "Analog Devices LTC2801CDE#PBF"           TopLayer LT-DE-UE-12_V                                       39.2430      32.3850      270      "LTC2801 - 1.8V to 5.5V RS-232 Single and Dual Transceivers"                                                  39.2430   32.3850   40.4930   33.8350   
R5_SD               40k                                       TopLayer RESC1609X50X30ML10T20                               97.9170      31.9640      270      "Res Thin Film 0603 40K Ohm 0.1% 0.15W ±25ppm/C Sulfur Resistant Pad SMD Automotive T/R"                      97.9170   31.9640   97.9170   32.6390   
R4_SD               40k                                       TopLayer RESC1609X50X30ML10T20                               90.8050      31.9640      270      "Res Thin Film 0603 40K Ohm 0.1% 0.15W ±25ppm/C Sulfur Resistant Pad SMD Automotive T/R"                      90.8050   31.9640   90.8050   32.6390   
R3_SD               40k                                       TopLayer RESC1609X50X30ML10T20                               95.5040      31.9640      270      "Res Thin Film 0603 40K Ohm 0.1% 0.15W ±25ppm/C Sulfur Resistant Pad SMD Automotive T/R"                      95.5040   31.9640   95.5040   32.6390   
R2_SD               40k                                       TopLayer RESC1609X50X30ML10T20                               93.0910      31.9170      270      "Res Thin Film 0603 40K Ohm 0.1% 0.15W ±25ppm/C Sulfur Resistant Pad SMD Automotive T/R"                      93.0910   31.9170   93.0910   32.5920   
RT                  CRCW0603120RFKEA                          TopLayer RESC1609X50X30NL8T20                                80.8990      32.6470      0        "Chip Resistor, 120 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"            80.8990   32.6470   80.2490   32.6470   
RPU                 CRCW040210K0FKEDC                         TopLayer Vishay_CRCW040210K0FKEDC-Footprint-1                84.4550      37.7350      270      "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                        84.4550   38.2350   84.4550   38.2350   
RB2                 "Vishay CRCW04022K00FKED"                 TopLayer PCB-uhzrf0rupn10fovhc4hr-1                          78.4860      32.6470      180      "Res Thick Film 0402 2K 1% 1/16W ±100ppm/°C CRCW Series"                                                      78.4860   32.6470   78.9940   32.6470   
RB1                 "Vishay CRCW04022K00FKED"                 TopLayer PCB-uhzrf0rupn10fovhc4hr-1                          83.3120      32.6470      180      "Res Thick Film 0402 2K 1% 1/16W ±100ppm/°C CRCW Series"                                                      83.3120   32.6470   83.8200   32.6470   
485_C               CC0603ZRY5V9BB104                         TopLayer PCB-qlnxvl73ouu83edsa0du-1                          84.8360      34.5520      90       "0603 0.1 uF 50 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                 84.8360   34.5520   84.8360   33.9020   
